Name,Short Description,Year,reference,File Size,File Size (KB),Dataset Variables,Data Type,Topics,Description,Score
Auditory evoked potential EEG-Biometric dataset,EEG signals from 20 adults during auditory and resting-state experiments; supports EEG biometrics.,2021,https://doi.org/10.13026/ps31-fc50,2.9 GB,2900000,"Raw/filtered/segmented EEG files, 4 channels (T7, F8, Cz, P4), 200 Hz, auditory/resting protocols","signal, table","eeg, biometric, electroencephalogram, auditory stimuli, resting-state","240+ two-minute EEG recordings from 20 volunteers, with both eyes-closed/resting-state and auditory stimuli. Designed for EEG-based biometric/authentication research, comparative analysis of eyes-open vs closed, and effect of auditory language/music type.",2
Autonomic Aging: A dataset to quantify changes of cardiovascular autonomic function during healthy aging,"Resting ECG and continuous noninvasive blood pressure signals from 1,121 healthy volunteers aged 18–92 years, for aging analyses.",2021,https://doi.org/10.13026/2hsy-t491,5.9 GB,5900000,"ECG (Lead II, 1kHz), continuous blood pressure, age group, gender (de-identified)","signal, table","blood pressure, baroreflex, age, cardiovascular, heart rate variability","High-resolution cardiovascular signals acquired at rest in 1,121 adults (18–92), including anonymized demographic metadata. Enables exploration of aging effects on HRV, BP regulation, etc. and supports systematic studies of autonomic decline in healthy populations.",1
A Wearable Exam Stress Dataset for Predicting Cognitive Performance in Real-World Settings,"Wearable multimodal data from 10 college students during 3 exam sessions, with performance grades.",2022,https://doi.org/10.13026/kvkb-aj90,82.1 MB,82100,"EDA, heart rate, BVP, skin temp, IBI, ACC, event marker tags, student grades",table,stress,"Empatica E4 wristband signals (EDA, HR, BVP, TEMP, IBI, ACC) + exam outcomes for real-world academic stress, enabling modeling of naturalistic physiological-cognitive relationships in students.",5
Behavioral and autonomic dynamics during propofol-induced unconsciousness,"Multimodal point-process autonomic indices in 9 healthy adults before, during, after propofol anesthesia.",2021,https://doi.org/10.13026/2rbc-1r03,6.6 GB,6600000,"HRV (LF, HF, time-domain), EDA (tonic, pulse rate, amplitude), LOC/ROC/event annotations","signal, table","autonomic nervous system, anesthesia, propofol, HRV, EDA","High-resolution ECG and EDA for each stage of propofol sedation, with loss/recovery-of-consciousness marks, raw and derived indices, for research on behavioral-autonomic relationships and anesthesia state detection.",3
BIDMC Congestive Heart Failure Database,Long-term ECG recordings from 15 subjects with severe congestive heart failure (NYHA III-IV).,2000,https://doi.org/10.13026/C29G60,773.4 MB,773400,"2-lead ECG (250 Hz, 20 hrs/subject), age/gender, automated beat annotations","signal, table","congestive heart failure, ECG","Ambulatory 2-lead ECGs spanning ~20 hours per subject, supporting studies of event detection, HRV, nonlinear cardiac dynamics, arrhythmia in CHF; frequently referenced in heart failure research.",4
BIDMC PPG and Respiration Dataset,"53 eight-minute recordings of PPG, ECG, respiration, and manual breath annotations from ICU patients.",2018,https://doi.org/10.13026/C2208R,207.7 MB,207700,"PPG, ECG, impedance respiration (125 Hz), manual breath marks, SpO2, HR, RR, age, gender","signal, table","multiparameter, photoplethysmogram, ECG","Multi-signal short-duration extracts from MIMIC-II waveform database with expert breath indications, intended for evaluating and benchmarking respiratory rate extraction from photoplethysmogram and sensor fusion approaches.",2
BIG IDEAs Lab Glycemic Variability and Wearable Device Data,Glucose measurements and wrist-worn wearable sensor data from highnormoglycemic participants.,2023,https://doi.org/10.13026/zthx-5212,34.1 GB,34100000,"Interstitial glucose, heart rate, blood volume pulse, electrodermal activity, skin temperature, tri-axial accelerometry, interbeat interval, food log, demographics (HbA1c, gender)","signal, table","biomedical engineering, pre-diabetes, biomarkers","Study monitored 16 adults at high normal risk for prediabetes using continuous glucose monitors and wearable wristband sensors over 8–10 days. Data includes glucose, physiological time series (PPG, EDA, temperature, accelerometer), food logs, and demographics. Enables research on digital biomarkers for early detection of glycemic changes and mHealth screening for prediabetes.",4
"bigP3BCI An Open, Diverse and Machine Learning Ready P300-based Brain-Computer Interface Dataset",A collection of data from P300-based brain-computer interface studies.,2025,https://doi.org/10.13026/0byy-ry86,44.6 GB,44600000,"EEG signals, BCI encoder, target characters, stimulus event markers, spelling outcomes, feedback event markers, eye tracker signals, self-reported demographics, ALS diagnosis and score","signal, table","brain-computer interface, electroencephalography, ieee p2731 working group standard, amyotrophic lateral sclerosis, p300 speller, p300 event related potential, oddball paradigm, error-related potential","Curated machine learning-ready EEG data for P300 BCI communication from multiple single- and multi-session experiments, including both abled-bodied and ALS individuals. Dataset provides standardized files (EDF+ format) for signal/event analysis, demographics, and eye-tracking, aligned with IEEE P2731 standards for broad reusability and long-term algorithm evaluation.",3
Blood Pressure in Salt-Sensitive Dahl Rats,"Continuous blood pressure recordings for 9 Dahl SS rats and 6 Dahl SS.13BN rats, under high and low salt conditions.",2012,https://doi.org/10.13026/C20597,3.4 MB,3400,"Continuous blood pressure, rat strain (SS, SS.13BN), diet condition (high/low salt)","signal, table","hypertension, blood pressure, cardiovascular","Dataset provides continuous blood pressure telemetry for genetic strains of rats (Dahl SS and consomic SS.13BN), tested under high- and low-salt diets, supporting research into baroreflex dysfunction and genetic effects in salt-sensitive hypertension. Enables physiologic and mathematical analysis of blood pressure regulation.",3
Body Sway When Standing and Listening to Music Modified to Reinforce Virtual Reality Environment Motion,Music manipulated to match VR motion provided by Oculus Rift increased body sway when standing still.,2021,https://doi.org/10.13026/x32c-cz47,1.1 GB,1100000,"Time, Fz (vertical force), Mx (moment about medial-lateral axis), My (moment about anterior-posterior axis), COPx (medial-lateral center of pressure), COPy (anterior-posterior center of pressure)",signal,,"VR experiment on 28 adults measuring COP movement under 3 visual and 4 auditory/music conditions, testing impact of music synchronized with VR motion on balance and postural sway using Bertec force plate data. All trials and raw signals are included for analysis.",1
Brain Hemorrhage Extended (BHX): Bounding box extrapolation from thick to thin slice CT images,The first version of this dataset was made available in the forum of Kaggle competition RSNA Intracranial Hemorrhage Detection v1.0. Then minor corrections were implemented v1.1.,2020,https://doi.org/10.13026/9cft-hg92,22.3 MB,22300,"DICOM image IDs, bounding box coordinates, hemorrhage labels (Intraparenchymal, Subarachnoid, Intraventricular, Epidural, Subdural, Chronic Subdural Hematoma)","images, table","hemorrhage, intracranial","Public dataset with bounding box annotations for 5 types of acute hemorrhage derived from CQ500 CT images; over 39,668 bounding boxes in 23,409 images. Used for developing and validating ML algorithms for localization and detection of intracranial hemorrhage. Contains hand-drawn and extrapolated labels.",4
Brno University of Technology ECG Quality Database (BUT QDB),The database is intended for the development and objective comparison of algorithms designed to assess the quality of ECG records. It also enables objective comparison of results between authors.,2020,https://doi.org/10.13026/kah4-0w24,4.2 GB,4200000,"Single-lead ECG, 3-axis accelerometer data, signal-quality class annotations (1,2,3), subject demographics","signal, table",ECG quality,"Long-term single-lead ECG and 3-axis accelerometer recordings from 15 subjects in free-living conditions. Designed for evaluating ECG signal quality algorithms, includes detailed expert annotations for varying quality levels and accelerometer data for motion context.",5
Brno University of Technology ECG Signal Database with Annotations of P Wave (BUT PDB),"BUT PDB is an ECG signal database with marked peaks of P waves created for the development, and objective comparison of P wave detection algorithms. The database consists of 50 2-minute 2-lead ECG signal records with various types of pathology.",2021,https://doi.org/10.13026/hwvj-5b53,7.0 MB,7000,"2-lead ECG signals, P wave positions, QRS complex annotations, pathology type","signal, table","p wave, ecg","ECG signals with manually annotated P wave peaks and QRS complexes, selected for 23 types of pathology from multiple public databases. Enables development and benchmarking of robust P wave detection algorithms in pathological cases, highly curated expert annotations for each beat.",5
Brno University of Technology Smartphone PPG Database (BUT PPG),"BUT PPG is a database created for the purpose of evaluating PPG signal quality and estimation of heart rate. The data comprises 3,888 10s recordings of PPGs recorded by smartphone and associated ECG and ACC signals and annotations.",2024,https://doi.org/10.13026/tn53-8153,203.3 MB,203300,"PPG signals (30 Hz), ECG signals (1,000 Hz), Accelerometric data/ACC (100 Hz), QRS complex positions, Heart Rate (HR), Signal quality annotations (binary: 0/1), Blood pressure, Blood oxygen saturation (SpO2), Glycaemia, Patient demographics (gender, age, height, weight), Measurement spot (ear/finger), Motion information",signal,"heart rate, artificial intelligence, ppg, ecg, acc, signal quality assessment, annotations, accelerometric data, photoplethysmography, electrocardiogram","The Brno University of Technology Smartphone PPG Database (BUT PPG) is a comprehensive dataset created for evaluating photoplethysmography (PPG) signal quality and heart rate estimation. It contains 3,888 10-second recordings collected from 50 subjects (25 female, 25 male) aged 19-76 years between August 2020 and December 2021. The database includes PPG signals captured using Xiaomi Mi9 and Huawei P20 Pro smartphones at 30 Hz from finger or ear measurements, synchronized reference ECG signals recorded at 1,000 Hz using Bittium Faros devices, and accelerometric data at 100 Hz for signals from subject 112001 onwards. Each PPG signal includes binary quality annotations (1 for good quality suitable for HR estimation, 0 for poor quality) based on consensus from 3-5 expert annotators following international standard IEC 60601-2-27 guidelines.",3
CAP Sleep Database,"The CAP Sleep Database is a collection of 108 polysomnographic recordings registered at the Sleep Disorders Center of the Ospedale Maggiore of Parma, Italy.",2012,https://doi.org/10.13026/C2VC79,40.1 GB,40100000,"At least 3 EEG channels (F3 or F4, C3 or C4, O1 or O2, referred to A1 or A2), EOG (2 channels), EMG of submentalis muscle, Bilateral anterior tibial EMG, Respiration signals (airflow, abdominal and thoracic effort, SaO2), ECG, Additional EEG bipolar traces, Sleep stage annotations, CAP (Cyclic Alternating Pattern) annotations","signal, table","apnea, sleep, eeg, multiparameter, ecg","The CAP Sleep Database is a comprehensive collection of 108 polysomnographic recordings from the Sleep Disorders Center of Ospedale Maggiore of Parma, Italy, designed to study the Cyclic Alternating Pattern (CAP) - a periodic EEG activity occurring during NREM sleep that serves as a marker of sleep instability. The database includes recordings from 16 healthy controls and 92 patients with various sleep-related pathologies including nocturnal frontal lobe epilepsy (40 patients), REM behavior disorder (22), periodic leg movements (10), insomnia (9), narcolepsy (5), sleep-disordered breathing (4), and bruxism (2). Each record contains multiple EEG channels, EOG, EMG (chin and tibial), respiratory signals (airflow, effort, SaO2), ECG, and expert annotations for both sleep stages (according to Rechtschaffen & Kales rules) and CAP phases (A1, A2, A3 subtypes and phase B periods), making it suitable for developing automated CAP analyzers and conducting research on sleep microstructure dynamics and sleep-related disorders.",1
Cardiorespiratory measurement from graded cycloergometer exercise testing,Cardiorespiratory measurements acquired during 18 exercise tests performed at French West Indies University.,2022,https://doi.org/10.13026/2qs3-kh43,1.6 MB,1600,"Heart R-wave to R-wave intervals (RR intervals in milliseconds), Oxygen consumption (VO2 in mL/min), Mechanical power output (in watts), Beat-to-beat measurements, Time elapsed since test start (seconds), Participant demographics (age, weight, height, ventilatory thresholds 1 and 2, sport discipline)","signal, table",,"This database contains cardiorespiratory measurements from 18 maximal graded exercise tests performed on young athletes (15.2±2 years) from the ACTES laboratory at French West Indies University. The participants included athletes from fencing (10), triathlon (2), and kayak (6) disciplines. Data includes beat-to-beat recordings of heart RR intervals, oxygen consumption, and mechanical power output throughout incremental cycloergometer tests until exhaustion. The protocol involved 3-minute warm-up at 50W followed by 15W/min incremental increases. The dataset contains 52,063 measurements across all tests, with median test duration of 1,223.7 seconds. All measurements were recorded with 1ms time resolution using ECG (12 derivations), gas analyzer, and electronic cycloergometer under controlled laboratory conditions.",5
CAST RR Interval Sub-Study Database,"Data from the Cardiac Arrhythmia Suppression Trial (CAST), a study designed to test the hypothesis that suppression of ventricular premature complexes would improve survival.",2004,https://doi.org/10.13026/C25P42,615.4 MB,615400,"RR intervals (inter-beat intervals), Beat annotations (QRS complex labels and timing), Subject demographics (age range in 5-year quantiles, gender), Recording metadata (type, timing signal presence, start time), Medication type (encainide, flecainide, moricizine), Treatment status (baseline/pre-treatment vs on-therapy)","signal, table","interbeat, rr interval","The CAST RR Interval Sub-Study Database contains beat annotation files from 809 subjects enrolled in the landmark Cardiac Arrhythmia Suppression Trial (CAST), comprising approximately 150 million RR interval measurements from 1,543 recordings (about 24 hours each). The database includes data from post-myocardial infarction patients who were randomly assigned to receive encainide, flecainide, moricizine, or placebo to test the hypothesis that suppressing ventricular premature complexes would improve survival. For 734 subjects, both baseline (pre-treatment) and on-therapy records are available, representing patients who achieved at least 80% PVC reduction. The database is organized into three medication groups (e, f, m) with paired records showing baseline and treatment phases. Each record includes RR interval time series derived from Holter ECG recordings, with beat annotations indicating QRS complex types and timing. The database has important limitations including potential timing artifacts from non-calibrated recordings, unavailability of original ECG signals, and focus primarily on normal-to-normal (N-N) intervals within specified duration limits.",5
Cerebral perfusion and cognitive decline in type 2 diabetes,"Dataset collected during a study on type 2 diabetes on brain blood flow, vasoreactivity and functional outcomes (gait and balance) using TCD, MRI perfusion and foot pressure distribution and gait measures.",2022,https://doi.org/10.13026/whjz-e968,13.0 GB,13000000,"Cerebral blood flow velocities (BFV) in anterior and middle cerebral arteries (TCD measurements), Cardiovascular variables (ECG, heart rate, blood pressure), Respiratory variables (CO2 levels), Laboratory tests (glucose, HbA1c, lipid profile, inflammatory markers, angiogenic growth factors), MRI data (T1, T2-weighted imaging, DTI metrics), Cognitive test scores, Gait and balance parameters (foot pressure distribution)","signal, table","vasoregulation, brain, diabetes","This dataset comprises comprehensive cerebral blood flow, autonomic function, laboratory, and gait measurements from 70 patients with type 2 diabetes mellitus and 70 healthy controls aged 50-85 years. The study investigated how type 2 diabetes affects cerebral perfusion and contributes to cognitive decline in older adults. Data collection included transcranial Doppler ultrasound measurements of blood flow velocities during various vasoregulation tests (hypocapnia, hypercapnia, Valsalva maneuver, head-up tilt, sit-to-stand), 3 Tesla MRI imaging with arterial spin labeling for regional cerebral blood flow assessment, comprehensive laboratory blood tests including inflammatory and angiogenic markers, cognitive and executive function assessments, and gait analysis using foot pressure sensors. The dataset supports research on cerebrovascular complications of diabetes, particularly examining the relationship between impaired cerebral vasoregulation, white matter changes, and executive dysfunction in elderly diabetic patients.",5
Cerebral Vasoregulation in Diabetes,Diabetes is a risk factor for cerebral hypoperfustion and microvascular disease. This study assessed the effects of diabetic autonomic neuropathy with OH on cerebral vasoregulation.,2020,https://doi.org/10.13026/m40k-4758,3.0 GB,3000000,"Cerebral blood flow (transcranial Doppler and MRI), Heart rate, Blood pressure, Respiratory parameters (CO2, O2, respiration), Balance measurements, Walking test data, Laboratory measures, Retinopathy measures, Foot pressure distribution (99 sensors), Postural sway measurements","signal, table","perfusion-arterial spin labeling mri, cerebral vasoregulation, white matter hyperintensities, orthostatic hypotension, cerebral blood flow- transcranial doppler, type 2 diabetes","This observational study dataset evaluates the effects of type 2 diabetes on cerebral vasoregulation and functional outcomes in older adults aged 55-75 years. It contains data from 37 diabetic participants and 49 controls, with measurements collected across three days of testing. The dataset includes continuous physiological recordings during various tests (head-up tilt, Valsalva maneuver, sit-to-stand, and walking tests) using transcranial Doppler ultrasound and 3T MRI to assess cerebrovascular response to orthostatic hypotension. The study specifically examined whether diabetic autonomic neuropathy with orthostatic hypotension affects cerebral vasoregulation, measuring blood flow responses to hypocapnia, hypercapnia, and postural changes, along with balance, cognitive, ophthalmologic, and laboratory assessments.",3
Cerebral Vasoregulation in Elderly with Stroke,Multimodal data from a large study investigating the effects of ischemic stroke on cerebral vasoregulation.,2018,https://doi.org/10.13026/C2DW96,173.9 GB,173900000,"Transcranial Doppler (TCD) measurements of cerebral blood flow velocity (BFV) from multiple arteries, 24-hour blood pressure (BP) numerics, ECG (electrocardiogram), Blood pressure waveforms, CO2 and respiration, 24-hour EMG (electromyography), Accelerometer recordings, Gait pressure recordings, Heart rate, Temperature, O2 saturation, Force movement data, Walking distance and speed","signal, table","stroke, vasoregulation, multiparameter","This database contains comprehensive multimodal data from a cross-sectional study investigating the effects of ischemic stroke on cerebral vasoregulation in elderly patients. The study compared 60 stroke patients to 60 control subjects, collecting data across multiple days to test three main hypotheses about impaired cerebral vasoregulation, autonomic blood pressure control, and distribution of impaired vasoreactivity after stroke. Data collection included transcranial Doppler ultrasound measurements of cerebral arteries, 24-hour blood pressure monitoring, high-resolution waveforms during various movement tasks (sitting, standing, head-up tilt, walking), 24-hour ECG and EMG recordings with accelerometry, and gait pressure measurements. The study aimed to determine the impact of stroke on cerebral blood flow regulation, autonomic blood pressure control, postural control, and cognition during daily living activities using advanced techniques including arterial spin labeling MRI at 3 Tesla.",2
Cerebromicrovascular Disease in Elderly with Diabetes,"Type 2 diabetes increases risk for cerebrovascular disease, cognitive and mobility decline in older people. This project evaluated relationship between diabetes, inflammation cerebrovascular reactivity and functional outcomes.",2022,https://doi.org/10.13026/00bm-0x81,3.7 GB,3700000,"24-hour ECG recordings (sampled at 1000 Hz), Transcranial Doppler (TCD) measurements (blood flow velocity in ACA and MCA), Cardiovascular and respiratory recordings, MRI data (T1, T2-weighted images, CASL perfusion maps, FLAIR, DTI), Blood pressure (24-hour monitoring), Heart rate, Regional gray/white matter volumes, Cerebrospinal fluid volumes, Laboratory measurements (glucose, A1c, C-peptide, lipids, etc.), Cognitive testing (MMSE), Balance and walking test data, Ophthalmological/retinopathy measures, Anthropometric measures","signal, table","gait and balance, brain perfusion, inflammation, type 2 diabetes, cerebromiscovascular disease, cerebral vasoreactivity, brain atrophy, perfusion mri","This database contains prospective observational study data evaluating the effects of type 2 diabetes mellitus on cerebral vasoregulation, perfusion, and functional outcomes in elderly participants aged 55-75 years. The dataset includes 69 diabetic and control participants at baseline, with 41 completing two-year follow-up. Data comprises continuous cerebral blood flow measurements using transcranial Doppler and MRI, heart rate, blood pressure, respiratory parameters, balance, walking, laboratory tests, and retinopathy measures. Regional brain volumes were quantified using segmentation methods on T1- and T2-weighted images and perfusion maps from 3 Tesla MRI, while white matter integrity was assessed using FLAIR and diffusion tensor imaging. The study measured cerebrovascular dynamics during CO2 challenge and orthostatic stress to determine mechanisms by which diabetes alters cerebral microcirculation and contributes to brain tissue damage and cognitive decline.",1
CGMacros: a scientific dataset for personalized nutrition and diet monitoring,"CGMacros contains information from two continuous glucose monitors (CGM), food macronutrients, food photographs, physical activity, and anonymized participant demographics, anthropometric measurements and health parameters.",2025,https://doi.org/10.13026/3z8q-x658,627.9 MB,627900,"CGM readings from Abbott FreeStyle Libre Pro (15-min sampling) and Dexcom G6 Pro (5-min sampling), Food macronutrients (carbohydrates, protein, fat, fiber), Food photographs (before and after meals), Fitbit activity data, Demographics (age, gender, ethnicity), Anthropometric measurements (height, weight, BMI), Blood analytics (HbA1c, fasting glucose, insulin, triglyceride, cholesterol, HDL, LDL, VLDL), Gut microbiome profiles (1,979 bacteria indicators), Viome gut health scores","signal, table","diabetes, continuous glucose monitors, machine learning, obesity, postprandial glucose response, food macronutrients, metabolic models, food photographs, personalized nutrition","CGMacros is a multimodal dataset containing data from 45 study participants (15 healthy adults, 16 with pre-diabetes, and 14 with Type 2 diabetes) who consumed meals with varying and known macronutrient compositions in a free-living setting for ten consecutive days. The dataset includes continuous glucose monitoring data from two different CGM devices, detailed food macronutrient information, food photographs, physical activity data from Fitbit devices, participant demographics, anthropometric measurements, blood analyses, and gut microbiome profiles. Data was collected between 2021-2024 at Sansum Diabetes Research Institute, with participants consuming standardized breakfasts (protein shakes) and lunches (Chipotle meals) while choosing their own dinners.",1
CHARIS database,"Multi-channel recordings of ECG, arterial blood pressure (ABP), and intracranial pressure (ICP) of patients diagnosed with traumatic brain injury.",2017,https://doi.org/10.13026/C24G6F,1.6 GB,1600000,"ECG (electrocardiogram), Arterial blood pressure (ABP), Intracranial pressure (ICP), Patient monitor outputs (25 Hz cutoff filtered), Sampling rate 50 Hz with 1.41 mV resolution, Pressure resolution 0.14 mmHg, Dynamic range ±500 mmHg, Patient demographics and medical information","signal, table","blood pressure, multiparameter, intracranial pressure, ecg","The CHARIS database contains multi-channel recordings of ECG, arterial blood pressure (ABP), and intracranial pressure (ICP) from patients diagnosed with traumatic brain injury (TBI). Data was collected from sedated and ventilated patients in the surgical intensive care unit at Robert Wood Johnson Medical Center. Signals were acquired from clinical monitors at 50 Hz sampling rate through isolated and filtered outputs from a General Electric TRAM-rac 4A system. ICP was monitored using micro transducers inserted intra-parenchymally into the frontal cranium, while ABP was measured via fluid-filled catheters in the radial artery. The database aims to systematize physiological signal analysis and develop data-driven algorithms to predict acute clinical events in patients with acute brain injury.",1
CHB-MIT Scalp EEG Database,"EEG recordings from pediatric subjects with intractable seizures, collected at the Children's Hospital Boston.",2010,https://doi.org/10.13026/C2K01R,42.6 GB,42600000,"23 EEG signals (24 or 26 in some cases) using International 10-20 system, ECG signal (in some files), VNS (vagal nerve stimulus) signal (in some files), Seizure annotations (onset and end markers), Subject metadata (age, gender), Sampling rate: 256 samples per second, 16-bit resolution","signal, table","medication, seizure, eeg, neuroelectric","The CHB-MIT Scalp EEG Database consists of EEG recordings from 22 pediatric subjects (5 males, ages 3–22; 17 females, ages 1.5–19) with intractable seizures, collected at Children's Hospital Boston. Subjects were monitored for up to several days following withdrawal of anti-seizure medication to characterize their seizures and assess candidacy for surgical intervention. The database contains 664 .edf files grouped into 23 cases, with 129 files containing one or more of the 198 annotated seizures. All signals were sampled at 256 samples per second with 16-bit resolution, using the International 10-20 system of EEG electrode positions, with most files containing 23 EEG signals recorded over one-hour periods (some files are 2 or 4 hours long). The dataset is designed for development and evaluation of automated seizure onset detection algorithms.",4
